"NR_ALBUMU","NAZWISKO","IMIE","WIEK","NR_GR"
1072,"Stepman","Ludwika ",20,31
1073,"Ciopinski","Doboslaw ",28,4
1074,"Srach","Rodomil",22,22
1075,"Geneli","Lucjola ",20,13
1076,"Bartuki","Ryszarda",27,20
1077,"Popiela","Staslaw",21,35
1078,"Chruscichowska","Gorazd ",29,13
1079,"Sztramko","Mati",29,5
1080,"Kositorny","Joanna ",23,12
1081,"Bissynger","Innocenty ",29,28
1082,"Kuballek","Katarzyna ",24,11
1083,"Geiner","Basia",28,3
1084,"Biskupiak","Longin ",27,33
1085,"Brelok","Wiktoriusz",27,36
1086,"Dyzman","Regina",25,25
1087,"Luciakiewicz","Bozydar",24,29
1088,"Zadworny","Humbert ",28,22
1089,"Szwaling","Hiacynta ",27,4
1090,"Siring","Ilza ",29,34
1091,"Ceminski","Bolek",29,22
1092,"Wisznowicer","Fryderyka ",26,10
1093,"Kozla","Korneliusz ",26,27
1094,"Orodnik","Elzbieta ",23,15
1095,"Tenczer","Ewa",29,6
1096,"Fletta","Domaslaw ",20,10
1097,"Chlipinska","Erwin",20,12
1098,"Blaszyk","Zenon",22,13
1099,"Tarpilowski","Julia ",27,12
1100,"Fiedzko","Budzislaw",26,25
1101,"Wilaine","Miestwin ",20,13
1102,"Wotkowski","Diana ",25,29
1103,"Kulanek","Cyryl ",21,35
1104,"Mariaszewski","Minogniew ",27,25
1105,"Huta","Nadia",24,31
1106,"Wiechert","Leontyn ",24,35
1107,"Tarncygier","Malgorzata ",26,22
1108,"Sajonz","Pamelka",25,12
1109,"Kostuniak","Honoryna ",29,25
1110,"Hetkowski","Kubus",22,22
1111,"Skomoroch","Romek",28,35
1112,"Kauczun","Terencjusz",25,8
1113,"Gozdzielewski","Teresa",28,26
1114,"Mistola","Jaclaw ",21,33
1115,"Walcerz","Jaropelk ",25,14
1116,"Purysko","Jaropelk ",27,13
1117,"Giergon","Bogdana",22,27
1118,"Tymoszynski","Aleksy",22,6
1119,"Jaszecki","Bozeciech",20,24
1120,"Matylkiewicz","Otto",21,22
1121,"Krajnyk","Daniela ",27,29
1122,"Szwarcek","Bohdana",29,19
1123,"Plyta","Lubomira ",25,32
1124,"Wiazek","Patrycjusz",24,4
1125,"Lewszynska","Cezariusz",24,10
1126,"Dzendzera","Euzebia ",23,34
1127,"Horbonik","Greta ",20,36
1128,"Szpurtacz","Tegomir",26,9
1129,"Szalgor","Liliana",27,27
1130,"Mazuszczak","Sebastiana",21,24
1131,"Szmigon","Ferdek",27,2
1132,"Grazanow","Ewelin ",21,11
1133,"Krystnicka","Darek",25,16
1134,"Bamber","Cibora ",20,9
1135,"Gnacinski","Jozefina ",20,30
1136,"Arenszt","Gwidon ",23,31
1137,"Siegien","Klaudia ",20,17
1138,"Gluchowik","Arnold ",24,32
1139,"Raizner","Justyn ",20,7
1140,"Bendas","Monika ",29,20
1141,"Nusbaun","Euzebia ",25,34
1142,"Jedros","Kajmir ",28,29
1143,"Heyko","Bolemir",21,29
1144,"Juzwiecka","Wiktoriusz",24,28
1145,"Rominkiewicz","Brunon",24,22
1146,"Szyminiak","Ewelin ",26,23
1147,"Kruszew","Bogusz",26,22
1148,"Libudzki","Jozefina ",22,35
1149,"Wartyzela","Apolonia",27,8
1150,"Krysztolowicz","Dolores ",20,10
1151,"Pok","Teofan",23,20
1152,"Jozienko","Korneliusz ",25,34
1153,"Porwol","Hilary ",28,26
1154,"Tobis","Helmut ",28,18
1155,"Kandzorra","Budzigniew ",29,12
1156,"Podmonicka","Jaromira ",20,4
1157,"Szemieta","Krystyna ",21,14
1158,"Stelmacha","Oktawian",28,6
1159,"Redniak","Gonsalwy ",24,27
1160,"Namiecinski","Nela ",26,11
1161,"Pirunek","Hubyslaw ",25,31
1162,"Dzwigal","Janislaw ",24,24
1163,"Grinink","Mirella ",23,32
1164,"Wladycz","Metoda ",22,21
1165,"Zapasiewicz","Bohdana",27,33
1166,"Loszczynski","Blanka",26,30
1167,"Nurenberg","Kasjana ",29,34
1168,"Dorotiuk","Lubgost ",20,26
1169,"Kryszkofiak","Grzegorz ",27,20
1170,"Wigrowska","Leon ",25,16
1171,"Szeuman","Misiek",20,2
1172,"Storkas","Cezary",29,18
1173,"Lichter","Urszula",20,16
1174,"Szalenik","Norbert ",24,17
1175,"Laurow","Dromil ",21,15
1176,"Warszalkowski","Iryda ",25,4
1177,"Bacciareli","Eligiusz ",24,24
1178,"Karbos","Izyda ",28,36
1179,"Wojak","Staszek",27,32
1180,"Paszotta","Beatrycze",22,6
1181,"Baciburska","Orchidea",25,6
1182,"Strazdas","Lukrecja ",24,7
1183,"Parchomiok","Mscibor ",22,11
1184,"Korupatowski","Myslaw ",27,14
1185,"Oblog","Ulka",26,33
1186,"Puwala","Badzimir",25,27
1187,"Kirenko","Waldemat",26,5
1188,"Launert","Karmen ",27,7
1189,"Semilas","Krzysiek",26,17
1190,"Jezela","Salomon",22,25
1191,"Ganacki","Adela",24,6
1192,"Kozalinska","Hugo ",28,20
1193,"Radiun","Jagoda ",22,21
1194,"Marzkowska","Borys",24,30
1195,"Andrusin","Ireneusz ",28,8
1196,"Baryko","Minogniew ",28,19
1197,"Lalusek","Czabor ",21,19
1198,"Kumpinowicz","Elwira ",23,17
1199,"Zelazek","Nierod ",22,2
1200,"Balbat","Leona ",29,18
1201,"Garstek","Slawobor",29,10
1202,"Gackiewicz","Budzislaw",26,21
1203,"Switalowski","Zbigniewa",21,13
1204,"Tadrala","Niegodoma ",24,17
1205,"Szmergalski","Bartek",23,15
1206,"Trzciak","Rodomil",27,36
1207,"Festerowski","Ludoslaw ",24,32
1208,"Sniegurowicz","Marcjal ",28,5
1209,"Rogarczyk","Darek",29,21
1210,"Girszweld","Ryszarda",22,5
1211,"Oblawski","Gliceria ",29,36
1212,"Siadaczka","Egbert",26,16
1213,"Geryk","Iwo ",22,28
1214,"Mosjewicz","Gotard ",25,2
1215,"Polomski","Beatrycze",27,14
1216,"Obroniak","Maks",26,26
1217,"Stazkiewicz","Adolf",23,27
1218,"Kurcabinska","Ciecimiar ",20,35
1219,"Kusiola","Nieprasz ",29,27
1220,"Chorozuk","Nierad ",20,12
1221,"Wiendzioch","Magda ",29,14
1222,"Lyga","Feliks ",20,34
1223,"Greskowiak","Ryszard",23,6
1224,"Muchorski","Horacy ",23,21
1225,"Knicinska","Konstantyn ",27,16
1226,"Mikost","Ben",29,34
1227,"Kristiansson","Ninogniew ",29,10
1228,"Rynarz","Nagod ",22,7
1229,"Liczewski","Kazimiera ",21,5
1230,"Swierpiel","Dobrociech ",24,23
1231,"Fielusz","Fidelis ",22,7
1232,"Zajglic","Dytrych ",26,27
1233,"Paluchowski","Leona ",23,10
1234,"Zadrynski","Irydion ",29,5
1235,"Zylla","Zygfryd",24,5
1236,"Mertas","Blazej",25,11
1237,"Ekloff","Radzislawa",26,20
1238,"Grafka","Innocenta ",29,10
1239,"Golnek","Danka",23,36
1240,"Zbierajski","Zygfryd",28,16
1241,"Koscienicki","Ewelinka",20,5
1242,"Grogiel","Robert",23,8
1243,"Jarmasz","Benedykt",26,28
1244,"Pietkiewicz","Piotr",24,27
1245,"Trombala","Ulka",24,24
1246,"Derygowski","Eliasz",26,32
1247,"Gluczkowski","Kasia",29,23
1248,"Muczak","Machabeusz ",25,18
1249,"Domlek","Dorian",28,10
1250,"Terefinko","Radoslaw",26,17
1251,"Modzyniewicz","Balbin",29,4
1252,"Lapiniewicz","Erazm ",20,21
1253,"Pelczyk","Bernarda",23,16
1254,"Awicewicz","Januariusz ",20,2
1255,"Badzia","Ninogniew ",26,16
1256,"Charlak","Bartosz",26,19
1257,"Szauman","Ksawery ",24,18
1258,"Rekiewicz","Konstanty ",26,26
1259,"Fyalkowski","Boguslaw",28,13
1260,"Niekodem","Lubomir ",21,10
1261,"Winowiecki","Przemek",22,9
1262,"Peczko","Wlodzimir",22,24
1263,"Dasinski","Blizbor",28,3
1264,"Szkladz","Bazyli",29,25
1265,"Raw","Agata",20,3
1266,"Bliznewska","Beniamin",23,33
1267,"Chosmacka","Jodok ",28,8
1268,"Kostrzyc","Lidka",25,9
1269,"Skaczek","Henryka ",21,6
1270,"Medelewski","Filip ",26,21
1271,"Korzyk","Augusta",26,15
1272,"Zmieniecki","Flawian",24,6
1273,"Kubietz","Smyslaw",22,28
1274,"Zwarcz","Hania",24,4
1275,"Magierowicz","Delfin",23,11
1276,"Gamelko","Cieslaw ",21,17
1277,"Holczewski","Godzislaw ",28,27
1278,"Freidel","Ciechoslawa",20,19
1279,"Centala","Zygfryd",20,3
1280,"Swirerska","Ziemek",26,9
1281,"Kasperczyk","Malgorzata ",25,28
1282,"Kuzatkowska","Liwia ",26,12
1283,"Siebesczyk","Niegoslawa ",21,22
1284,"Erlingowski","Manswet ",22,2
1285,"Lieser","Ryta",23,29
1286,"Brawinski","Edgar ",25,26
1287,"Bartykowski","Fidelisa ",24,30
1288,"Karbaszkiewicz","Faust",24,8
1289,"Pindzior","Luiza ",24,15
1290,"Dermietzel","Terencjusz",23,17
1291,"Osesko","Eustachy ",27,16
1292,"Groworek","Brodzislaw ",25,30
1293,"Gielazyn","Gertruda ",20,32
1294,"Schilk","Rafal",22,31
1295,"Gatko","Maryla ",27,21
1296,"Perlamuter","Zdzislawa",21,17
1297,"Postrozna","Kazik",23,11
1298,"Zychlinowska","Cieszyrad ",20,27
1299,"Harwas","Hubert ",21,32
1300,"Cubr","Niestoj ",24,5
1301,"Siger","Gajusz",29,27
1302,"Ajtkun","Gniewomir ",23,11
1303,"Kamynski","Asia",28,14
1304,"Gruzol","Melchior ",25,3
1305,"Alsut","Niegoslawa ",20,15
1306,"Parczko","Nieteg ",22,13
1307,"Vierus","Ziemowit",24,2
1308,"Karalczyk","Gwidon ",25,13
1309,"Alsztyniuk","Przemysl",25,29
1310,"Gablankowski","Marcelian ",24,3
1311,"Raisner","Jodok ",21,26
1312,"Jeroslawski","Budzimir ",28,19
1313,"Kliniak","Myslaw ",26,23
1314,"Rakiecin","Damazy ",27,24
1315,"Peciak","Hortensja ",21,7
1316,"Cieslin","Oskar",22,30
1317,"Baetscher","Salomon",26,4
1318,"Bieszten","Ewald ",25,6
1319,"Znajszla","Benon",20,34
1320,"Flagorowska","Borzuj",28,14
1321,"Locik","Augustyna",25,14
1322,"Ramocha","Fawila",27,13
1323,"Lisztkowicz","Krystiana ",21,4
1324,"Pyszniak","Hugona ",26,10
1325,"Turudzicz","Nieteg ",22,3
1326,"Kanowalow","Kasjana ",24,26
1327,"Waladzinski","Godfryd ",20,25
1328,"Stabala","Lolita ",29,26
1329,"Wagrodzki","Felicjana ",26,24
1330,"Prazniowski","Milowuj ",21,36
1331,"Pichurko","Piotrek",27,12
1332,"Kachan","Norberta ",24,4
1333,"Patzau","Kamelia ",20,35
1334,"Sznajserowicz","Maja ",23,10
1335,"Kuczerzynska","Grzymislawa ",27,30
1336,"Byna","Krzesimir ",27,23
1337,"Tremel","Edward",29,11
1338,"Wegert","Zbygniewa",22,29
1339,"Harmaziej","Felicjan ",24,3
1340,"Solyn","Domoslaw ",21,22
1341,"Klawinski","Jakub ",28,8
1342,"Pierzanowski","Ernest ",21,6
1343,"Cylikowska","Fidelis ",29,31
1344,"Ziolecki","Iwo ",21,22
1345,"Pychinski","Erast ",22,4
1346,"Checiak","Krzesimir ",28,12
1347,"Kierylowski","Dalewuj",25,29
1348,"Nieuwazny","Franek",24,16
1349,"Betlewski","Misiek",24,14
1350,"Roztropowicz","Oriana",21,6
1351,"Kroliszowska","Kordian ",26,5
1352,"Rademacka","Bozeciech",23,20
1353,"Kukulewska","Dalewuj",26,28
1354,"Hencler","Barnaba",22,9
1355,"Knapacka","Hortensja ",21,20
1356,"Rzadza","Monika",29,34
1357,"Dziardkowiec","Greta ",29,7
1358,"Stepowski","Celestyn",21,35
1359,"Prewendowski","Drogoslaw ",24,7
1360,"Dobragowski","Alojzy",22,18
1361,"Pyl","Krzyslaw ",25,3
1362,"Burczynski","Humbelina ",23,26
1363,"Kowiranda","Liza ",27,17
1364,"Protzek","Bazyla",28,20
1365,"Bargol","Aleks",24,35
1366,"Miksztowicz","Eliza",27,15
1367,"Kolaczkowski","Magda ",20,22
1368,"Grendzienski","Krzysztof ",25,6
1369,"Soude","Ksenia",24,25
1370,"Snichota","Domoslaw ",25,12
1371,"Dyballa","Apollo",21,26
1372,"Junajtys","Dobrutro ",25,17
1373,"Apolinarski","Hortensjusz ",25,26
1374,"Kotzybik","Irydion ",22,31
1375,"Lepakiewicz","Adelajda",23,24
1376,"Wowreczek","Kleopatra ",28,3
1377,"Fatk","Jedrzej ",22,3
1378,"Lenc","Tymon",24,28
1379,"Nahirny","Oliwia",22,12
1380,"Rachmistruk","Radoslawa",21,28
1381,"Dahle","Ludomira ",26,8
1382,"Blaciak","Konstanty ",21,19
1383,"Mrozewicz","Faustyn",24,17
1384,"Peschla","Slawomiar",22,3
1385,"Strogarek","Kalasanty ",23,8
1386,"Kasha","Faustyna ",27,4
1387,"Szleniecki","Liliana",20,13
1388,"Grubar","Gwidon ",25,20
1389,"Szamatulski","Sylwan",26,34
1390,"Panch","Budzislaw",25,19
1391,"Plejniczak","Samuela",26,15
1392,"Lengung","Rysiek",23,24
1393,"Relbin","Grzegorz ",23,7
1394,"Wilkojec","Matylda ",27,30
1395,"Bande","Alojzy",21,11
1396,"Rycombek","Makary ",22,7
1397,"Winczak","Czcibora ",22,31
1398,"Domel","Hugo ",20,4
1399,"Boremski","Wojtek",29,14
1400,"Rapas","Nikifor ",29,17
1401,"Pazytak","Gliceria ",28,22
1402,"Flunt","Kajmir ",24,13
1403,"Szylhabel","Nieteg ",24,15
1404,"Czychryj","Julian ",20,34
1405,"Niemurowicz","Ostap",28,19
1406,"Drychinicz","Herbert ",28,27
1407,"Haweza","Dobrawa ",23,9
1408,"Jendrosz","Sylwia",20,6
1409,"Chibani","Apolloniusz",27,25
1410,"Kaliczak","Mieszko ",23,33
1411,"Flanek","Karol ",28,36
1412,"Bandyt","Milochna ",23,33
1413,"Anaszewski","Sabin",26,20
1414,"Wasilin","Zuza",28,3
1415,"Hajnrychowska","Patrycja",29,6
1416,"Lajsztul","Leontyna ",22,21
1417,"Mykitiuk","Rodomil",27,17
1418,"Szumela","Ewa",22,6
1419,"Bebej","Goszczuj ",29,34
1420,"Kappes","Cibor ",25,26
1421,"Assulewicz","Marian ",29,8
1422,"Gerlecki","Emerencja ",27,19
1423,"Korbij","Patrycja",25,26
1424,"Knatowska","Gawin",25,24
1425,"Szetko","Lolita ",28,4
1426,"Jelicik","Nora ",22,31
1427,"Pionek","Eufrozyna ",23,14
1428,"Bollmann","Namir ",24,18
1429,"Zurewicz","Menodora ",25,26
1430,"Hellebrandt","Lucja ",23,23
1431,"Mikulko","Witoslawa",27,28
1432,"Bista","Julietta ",22,8
1433,"Zondlo","Bogusz",22,25
1434,"Kaczoruk","Alojzy",24,25
1435,"Terka","Tezeusz",21,11
1436,"Langberg","Radoslawa",26,14
1437,"Cielon","Pelagiusz",26,4
1438,"Bonder","Dionizy ",23,28
1439,"Tadeuszyk","Oskar",20,20
1440,"Chlosciak","Ciecirada ",26,24
1441,"Krasnianka","Staszek",22,4
1442,"Dwiniel","Kleofas ",20,31
1443,"Dagowski","Epifan ",25,33
1444,"Straszyk","Mscibor ",26,18
1445,"Balakut","Ewald ",21,28
1446,"Segrecki","Cibora ",23,32
1447,"Gogacz","Jozefat ",20,15
1448,"Hargeshmeier","Hipacy ",27,36
1449,"Niwierski","Tezeusz",24,18
1450,"Osiesa","Eryka ",26,30
1451,"Cybort","Domorad ",23,15
1452,"Bialorusow","Lucjusz ",26,2
1453,"Mondorewicz","Januaria ",27,11
1454,"Peleszczak","Maura ",29,31
1455,"Zuranski","Borzuj",29,22
1456,"Ternozek","Demetriusz",21,30
1457,"Poluszak","Dalia",26,34
1458,"Karauze","Ligia ",27,22
1459,"Aleksonek","Lukrecja ",22,32
1460,"Sonnenberg","Grzymislawa ",21,27
1461,"Gezek","Herkules ",28,30
1462,"Mateja","Czcislaw ",21,8
1463,"Miruski","Maciek",25,36
1464,"Wiata","Helena ",22,26
1465,"Hawaszczyk","Natalis ",21,23
1466,"Potomka","Milowuj ",24,24
1467,"Chojawa","Sebastian",29,13
1468,"Chechlo","Maryn ",28,6
1469,"Dobras","Mirus",22,9
1470,"Blanc","Robek",29,13
1471,"Sultis","Antek",24,18
1472,"Okalski","Witold",22,9
1473,"Wymetal","Jarema",24,21
1474,"Lagoda","Iza",27,17
1475,"Mupa","Krystiana ",20,30
1476,"Deim","Stanislawa",21,34
1477,"Trznadol","Leontyn ",20,26
1478,"Plaskonek","Miranda ",27,15
1479,"Kudar","Maurycy ",26,31
1480,"Brodawkin","Emanuel ",21,21
1481,"Zbralewicz","Maciek",27,16
1482,"Fudela","Izaura ",29,28
1483,"Eilmes","Apolinary",23,25
1484,"Harkabudzik","Rudolf",25,3
1485,"Kalusok","Maciek",24,29
1486,"Mielewczik","Alfons",26,14
1487,"Sydonin","Lucyna ",22,18
1488,"Hrycin","Paloma",26,28
1489,"Skarstein","Nastazja ",20,13
1490,"Blyskal","Osiebor",24,26
1491,"Ossypuk","Krystiana ",27,21
1492,"Rogoznik","Jaclaw ",26,10
1493,"Kolumbius","Konstanty ",22,5
1494,"Korgol","Mironiega ",21,11
1495,"Swiciewski","Herman ",24,29
1496,"Potasik","Edmund ",22,8
1497,"Robenek","Alfreda",28,3
1498,"Broj","Piotr",25,23
1499,"Jozwiak","Mironieg ",28,11
1500,"Plachocki","Falislawa ",23,11
1501,"Jenke","Leoncjusz ",29,15
1502,"Chlad","Doboslaw ",25,11
1503,"Blaznik","Angelika",28,30
1504,"Rybol","Agus",23,21
1505,"Dolzycki","Ludomila ",21,4
1506,"Fonudla","Izbor ",29,19
1507,"Krasnolucki","Hugo ",28,11
1508,"Lapikasza","Przemyslawa",23,17
1509,"Walenczuk","Dalewuj",26,9
1510,"Ciesek","Waclaw",20,35
1511,"Rzezniczuk","Oswalda",28,19
1512,"Bokrzyc","Milowit ",21,13
1513,"Dedys","Kinga",22,9
1514,"Grichan","Waclaw",24,16
1515,"Osnuch","Renata",22,4
1516,"Knypek","Agata",21,21
1517,"Bilanow","Baldwin",29,36
1518,"Swiergocki","Bazyli",28,25
1519,"Derczacz","Anetka",25,23
1520,"Cichapek","Witolda",22,19
1521,"Pischnik","Wislaw",29,35
1522,"Warzkow","Modest ",20,5
1523,"Ludomska","Ignacy ",21,19
1524,"Niunka","Wieslaw",24,25
1525,"Kacieszczenko","Loreta ",22,36
1526,"Lazasz","Aurelia ",24,26
1527,"Polcik","Gawel",26,3
1528,"Rebin","Hortensja ",26,25
1529,"Stajgl","Edzio",28,11
1530,"Wojtowiec","Dalewuja",24,30
1531,"Pozdziej","Gwidon ",21,6
1532,"Sandorski","Ilza ",20,22
1533,"Deneko","Ola",24,5
1534,"Luzura","Wenanty",25,6
1535,"Anyszek","Hilary ",23,20
1536,"Paradnia","Barnaba",27,6
1537,"Kabatc","Krzeslaw ",28,28
1538,"Tempich","Badzimir",25,31
1539,"Trelikowski","Joachim ",24,11
1540,"Telechon","Joachima ",25,17
1541,"Slapak","Ewelinka",21,10
1542,"Brydar","Nagod ",27,9
1543,"Herhel","Berenika",29,3
1544,"Tacharek","Goska",20,2
1545,"Ajchstet","Georgia ",24,35
1546,"Grudza","Wiktoryn",27,29
1547,"Wardega","Ferdek",29,27
1548,"Nixdorf","Eryka ",25,36
1549,"Podjarkowski","Bogdan",22,29
1550,"Tatola","Bolemysl",26,10
1551,"Zaglaniczny","Gotfryd ",28,19
1552,"Meisler","Cecylia ",26,26
1553,"Pogrodka","Grzes",24,20
1554,"Felgelson","Ludwina ",27,32
1555,"Spadarzewski","Sybilla",20,19
1556,"Buklad","Lucjan ",25,30
1557,"Berkowicz","Erwin",29,31
1558,"Gac","Stefan",23,26
1559,"Kostroj","Nonna ",22,9
1560,"Gwizdala","Gabriela",27,14
1561,"Frujentow","Gorazd ",22,23
1562,"Szulhaniuk","Bozena",24,28
1563,"Zynkowicz","Niemst ",26,8
1564,"Â¬dzierela","Modest ",29,6
1565,"Klajmont","Ksenia",24,29
1566,"Posiakow","Marta ",29,20
1567,"Niedorazow","Zbroslaw",28,27
1568,"Archmann","Anetka",29,11
1569,"Boryna","Paulina",23,36
1570,"Siewczyszyn","Seweryna",28,29
1571,"Brudewicz","Wislaw",29,30
1572,"Przczolkiewicz","Gerarda ",26,14
1573,"Deg","Walentyn",26,7
1574,"Krytek","Kunegunda ",22,29
1575,"Gosiorowski","Rodomil",29,20
1576,"Stanczak","Kaja ",25,30
1577,"Tomantschgar","Remigiusz",27,31
1578,"Marlachowska","Mariola ",29,12
1579,"Lemisz","Czaslaw ",21,24
1580,"Tankielun","Drogoslawa ",23,11
1581,"Podleska","Lucjola ",28,3
1582,"Mandziaj","Pawel",23,35
1583,"Lubuda","Nastazja ",21,6
1584,"Chumikowski","Edward",26,19
1585,"Widzenicz","Jasiek",21,6
1586,"Mierko","Franciszka ",24,2
1587,"Sikolowski","Lucek",21,30
1588,"Prymont","Erazm ",22,27
1589,"Pierszkiewicz","Klemens ",26,9
1590,"Kiecman","Epifan ",27,20
1591,"Walen","Leontyna ",28,24
1592,"Biskupski","Teodoryk",29,20
1593,"Zwilinkowski","Anita",21,36
1594,"Wereszczaka","Goslawa ",26,19
1595,"Snirska","Henryka ",20,33
1596,"Benedykt","Epifan ",25,36
1597,"Scientek","Czaslaw ",26,6
1598,"Pindlowski","Radomil",22,30
1599,"Bokrzycki","Ladyslaw ",27,5
1600,"Krenczewska","Ludwina ",26,11
1601,"Marznik","Janislaw ",23,36
1602,"Marny","Orfeusz",21,15
1603,"Kwalek","Miestwin ",22,25
1604,"Szlufciak","Cibor ",21,20
1605,"Czertenkow","Ryta",23,36
1606,"Miloszyk","Manomir ",24,27
1607,"Maklinowska","Edzio",26,25
1608,"Alesa","Doboslawa ",21,8
1609,"Gadziak","Jacek ",28,22
1610,"Naczinsky","Dziebor ",24,13
1611,"Odmirok","Mati",29,17
1612,"Led","Laurentyn ",25,36
1613,"Bernhard","Biezuj",25,23
1614,"Asendi","Cecylia ",22,34
1615,"Oblocki","Rudolfina",29,12
1616,"Pientarski","Roksana",25,7
1705,"Kejs","Bolek",20,3
1617,"Komoszenko","Jolanta",21,33
1618,"Sedkiewicz","Innocenty ",22,2
1619,"Nielepiec","Domazyr ",26,25
1620,"Stecko","Kleopatra ",29,11
1621,"Salajski","Magnus ",24,21
1622,"Scielona","Cibora ",27,26
1623,"Gwardzak","Bohdana",27,6
1624,"Kocuj","Dobrawa ",27,36
1625,"Chodarz","Jonasz ",22,21
1626,"Chmielar","Eustacjusz ",21,26
1627,"Kedziora","Orchidea",27,13
1628,"Napiekla","Zuzanna",24,30
1629,"Duhan","Zachariasz",27,7
1630,"Sindalski","Makary ",25,13
1631,"Trocenko","Jacenty ",21,29
1632,"Zoledzki","Terencjusz",25,36
1633,"Derbochlaw","Sabin",29,10
1634,"Bakalaz","Wladyslaw",21,22
1635,"Bochorski","Boncza",21,23
1636,"Diakiewicz","Domazyr ",25,22
1637,"Holcilowicz","Lenart ",21,17
1638,"Macierzonek","Lucjan ",26,22
1639,"Gocarz","Kalinka",21,32
1640,"Karanter","Herakles ",21,27
1641,"Goranczyk","Ziemowit",23,12
1642,"Galczewski","Renat",21,22
1643,"Marszelek","Ernestyn ",28,21
1644,"Szrodzinski","Biedrzyslaw ",28,20
1645,"Maruszewski","Horacjusz ",24,10
1646,"Hanenko","Jan",29,10
1647,"Kewicz","Bernadeta",21,13
1648,"Bialucka","Agus",28,7
1649,"Magas","Makary ",24,25
1650,"Feglerski","Gorazd ",24,10
1651,"Payonk","Klara ",22,16
1652,"Bohojlo","Arnulf",29,33
1653,"Kobil","Domamir ",28,19
1654,"Waleskiewicz","Nieznamir ",23,6
1655,"Rofman","Borzyslaw",25,23
1656,"Hermansen","Manuela ",25,23
1657,"Antonik","Madzia ",26,7
1658,"Wesak","Krzysztofa ",24,8
1659,"Kutulewicz","Faustyn",26,13
1660,"Celada","Januaria ",27,15
1661,"Grabowienski","Dobromil ",22,31
1662,"Gazarkiewicz","Hania",23,10
1663,"Drzozowski","Antek",24,29
1664,"Husinski","Rebeka",22,32
1665,"Zolynski","Otton",26,26
1666,"Mozwojski","Maurycy ",20,12
1667,"Martineli","Boleslawa ",22,29
1668,"Schnierl","Domicela ",25,26
1669,"Dargiel","Goszczuj ",23,24
1670,"Sotor","Slawomira",29,9
1671,"Pawlusiuk","Nieznamir ",27,19
1672,"Dziekcierow","Oriana",26,26
1673,"Gajbacki","Cieszyslaw ",25,33
1674,"Blagun","Lilla",22,13
1675,"Szyfranska","Sergiusz",25,36
