"NR_ALBUMU","NAZWISKO","IMIE","WIEK","NR_GR","NAZWA_GR"
2739,"Rederko","Krzysztofa ",29,7,"1ID14A"
2740,"Grosshans","Bogumil",26,8,"1ID14B"
2741,"Wittmeyer","Leonia ",29,30,"3ID14B"
2742,"Polozowski","Frumencjusz ",28,16,"2ID12B"
2743,"Wasiekiewicz","Klaudiusz ",20,10,"1ID15B"
2744,"Banycki","Patryk",23,11,"1ID16A"
2745,"Gretszla","Miroslawa ",25,4,"1ID12B"
2746,"Proksch","Jonatan ",28,32,"4ID11B"
2747,"Lustyn","Teofila",26,15,"2ID12A"
2748,"Bajarowska","Alfred",22,24,"3ID11B"
2749,"Dyrdula","Orestes",25,8,"1ID14B"
2750,"BlechvelBloch","Emil",24,32,"4ID11B"
2751,"Chorzepa","Erast ",20,4,"1ID12B"
2752,"Darczewski","Remig",28,18,"2ID13B"
2753,"Kloparska","Ksawery ",20,5,"1ID13A"
2754,"Scimoniak","Maryn ",23,30,"3ID14B"
2755,"Krencel","Dziadumila ",21,16,"2ID12B"
2756,"Wyrzyn","Martyn ",29,7,"1ID14A"
2757,"Pobiehuszka","Wladyslawa",28,29,"3ID14A"
2758,"Bogdel","Ingryda ",26,26,"3ID12B"
2759,"Rosielewski","Ostrogniew",29,19,"2ID14A"
2760,"Paradistal","Goslaw ",26,6,"1ID13B"
2761,"Namislik","Hubert ",26,15,"2ID12A"
2762,"Batrys","Honorata ",24,28,"3ID13B"
2763,"Tarunt","German ",22,6,"1ID13B"
2764,"Eismentowicz","Falislaw ",21,18,"2ID13B"
2765,"Gawast","Egbert",28,14,"2ID11B"
2766,"Bramski","Ostrowod",27,9,"1ID15A"
2767,"Wialic","Elka",23,7,"1ID14A"
2768,"Kolbrus","Jowita ",25,8,"1ID14B"
2769,"Szawlinski","Angela",27,17,"2ID13A"
2770,"Kochonek","Cieslawa ",22,28,"3ID13B"
2771,"Olszaniecki","Martyna ",25,31,"4ID11A"
2772,"Endrych","Lukrecja ",29,13,"2ID11A"
2773,"Liszyk","Witold",25,36,"4ID13B"
2774,"Kuszanek","Bolo",23,25,"3ID12A"
2775,"Harnsza","Dalibor ",28,20,"2ID14B"
2776,"Dolozina","Hortensjusz ",28,18,"2ID13B"
2777,"Sepilo","Nestor ",21,28,"3ID13B"
2778,"Szmaciarski","Barnim",26,18,"2ID13B"
2779,"Zawieruch","Gaudencja ",24,31,"4ID11A"
2780,"Ropocz","Bronislawa ",26,21,"2ID15A"
2781,"Kollas","Bronislaw ",27,35,"4ID13A"
2782,"Szulecki","Alicja",29,6,"1ID13B"
2783,"Bojczewski","Dionizy ",24,36,"4ID13B"
2784,"Dutkiewicz","Kuba",29,33,"4ID12A"
2785,"Soraczak","Rita",22,28,"3ID13B"
2786,"Czoppa","Zacheusz",27,8,"1ID14B"
2787,"Gomulak","Edwin",29,5,"1ID13A"
2788,"Badzwal","Tegomir",27,34,"4ID12B"
2789,"Tawsznik","Ben",20,33,"4ID12A"
2790,"Ciepieniak","Jarek",29,28,"3ID13B"
2791,"Luckin","Slawomir",27,12,"1ID16B"
2792,"Wilinski","Ronald",23,2,"1ID11B"
2793,"Zgama","Jurek",20,8,"1ID14B"
2794,"Ziemianski","Florian ",26,6,"1ID13B"
2795,"Kieruniak","Frumencjusz ",20,19,"2ID14A"
2796,"Kapelka","Teodor",21,4,"1ID12B"
2797,"Suchankiewicz","Malwin ",22,23,"3ID11A"
2798,"Hopek","Honoryna ",24,31,"4ID11A"
2799,"Biljakowska","Areta",27,34,"4ID12B"
2800,"Malenda","Zbroslaw",22,3,"1ID12A"
2801,"Dambach","Remigiusz",21,21,"2ID15A"
2802,"Kecor","Iryda ",20,5,"1ID13A"
2803,"lasiewski","Nadar ",25,19,"2ID14A"
2804,"Gaborkiewicz","Ilza ",29,26,"3ID12B"
2805,"Bednarowski","Liwia ",26,34,"4ID12B"
2806,"Wylazkowska","Teofan",28,2,"1ID11B"
2807,"Pioro","Regina",28,11,"1ID16A"
2808,"Asztulewicz","Emilian ",21,19,"2ID14A"
2809,"Rusim","Benedykta",26,27,"3ID13A"
2810,"lupniak","Marcela ",28,11,"1ID16A"
2811,"Bieszczad","Slawobor",26,28,"3ID13B"
2812,"Czercucha","Wiktoriusz",26,26,"3ID12B"
2813,"Wilgoma","Jakub ",28,32,"4ID11B"
2814,"Szoltys","Oliwer",20,25,"3ID12A"
2815,"Lokowant","Gracjana ",20,25,"3ID12A"
2816,"Tiszlik","Gajusz",21,17,"2ID13A"
2817,"Kteczek","Sylweriusz",23,14,"2ID11B"
2818,"Hanuza","Edward",23,14,"2ID11B"
2819,"Karschny","Dalewin",25,26,"3ID12B"
2820,"Paska","Lucja ",26,18,"2ID13B"
2821,"Domec","Kamila ",21,35,"4ID13A"
2822,"Bowaniak","Febronia ",28,8,"1ID14B"
2823,"Karzebska","Euzebia ",29,26,"3ID12B"
2824,"Wienkiewicz","Dalemir ",29,24,"3ID11B"
2825,"Grucewicz","Kasia",25,9,"1ID15A"
2826,"Kirszniowska","Domamir ",28,21,"2ID15A"
2827,"Karaus","Romuald",24,19,"2ID14A"
2828,"Kuilinska","Kasia",24,4,"1ID12B"
2829,"Irzylowski","Adam",23,27,"3ID13A"
2830,"Szywielewski","Leszek",27,28,"3ID13B"
2831,"Hruniewicka","Boleslawa ",23,16,"2ID12B"
2832,"Sostowska","Jalmina ",29,25,"3ID12A"
2833,"Balecki","Tomasz",26,12,"1ID16B"
2834,"Beres","Daniela ",29,25,"3ID12A"
2835,"Westhal","Kleofas ",27,33,"4ID12A"
2836,"Tarn","Gromislaw ",28,35,"4ID13A"
2837,"Woniaczuk","Emanuela ",25,20,"2ID14B"
2838,"Mierwald","Dalwin ",20,8,"1ID14B"
2839,"Muziol","Nadmir ",25,36,"4ID13B"
2840,"Piarz","Halka ",23,9,"1ID15A"
2841,"Migrala","Feliks ",23,20,"2ID14B"
2842,"Donczewa","Kazimiera ",21,9,"1ID15A"
2843,"Parcewicz","Walentyna",22,26,"3ID12B"
2844,"Kapias","Elwira ",27,4,"1ID12B"
2845,"Stepniowski","Patryk",21,36,"4ID13B"
2846,"Galubicz","Chryzant ",26,8,"1ID14B"
2847,"Spilnyk","Greta ",28,25,"3ID12A"
2848,"Cielecki","Izka",24,19,"2ID14A"
2849,"DadZynska","Leona ",26,32,"4ID11B"
2850,"Kawalek","Gawel",24,21,"2ID15A"
2851,"Michielewicz","Rudolfa",28,31,"4ID11A"
2852,"Czrkawska","Tomek",27,11,"1ID16A"
2853,"Poschnik","Januariusz ",22,35,"4ID13A"
2854,"Podworski","Gabriela",28,34,"4ID12B"
2855,"Sztrajbart","Slawomira",26,23,"3ID11A"
2856,"Jeszczok","Faustyna ",25,13,"2ID11A"
2857,"Gorzelniowski","Dolores ",23,7,"1ID14A"
2858,"Tackowiak","Frumencjusz ",23,8,"1ID14B"
2859,"Papulnicka","Niemir ",21,3,"1ID12A"
2860,"Kural","Kleofas ",25,25,"3ID12A"
2861,"Minschinski","Atanazy ",25,3,"1ID12A"
2862,"Matyaszkiewicz","Ezechiel ",25,30,"3ID14B"
2863,"Okamfer","Elka",26,30,"3ID14B"
2864,"lozarz","Irydion ",21,35,"4ID13A"
2865,"Giedka","Gotfryd ",26,33,"4ID12A"
2866,"Paclunos","Ingryda ",22,31,"4ID11A"
2867,"swiba","Nawoja ",24,18,"2ID13B"
2868,"Szermak","Max",27,33,"4ID12A"
2869,"Gadac","Bogudar",24,33,"4ID12A"
2870,"Zakorzenna","Ben",26,31,"4ID11A"
2871,"Kazin","Domicjan ",20,30,"3ID14B"
2872,"Dzieciola","Grodzislaw ",27,9,"1ID15A"
2873,"Tereszkowski","Ala",28,3,"1ID12A"
2874,"Kwieryng","Jadwiga ",24,13,"2ID11A"
2875,"Cebo","Kleopatra ",28,33,"4ID12A"
2876,"Stopowy","Pankracy",28,11,"1ID16A"
2877,"Ajzembal","Ilona ",29,8,"1ID14B"
2878,"Hadrzynski","Gebhard ",20,20,"2ID14B"
2879,"Geniewska","Sebastian",26,18,"2ID13B"
2880,"Terleckyj","Harald",27,33,"4ID12A"
2881,"Balszewski","Estera ",20,19,"2ID14A"
2882,"Wlochenska","Felicjana ",20,33,"4ID12A"
2883,"Debrowo","Hugon ",23,34,"4ID12B"
2884,"Szczytek","Wlodzimira",24,4,"1ID12B"
2885,"Libensztejn","Toska",24,13,"2ID11A"
2886,"Koraj","Krzysiek",24,5,"1ID13A"
2887,"Bechler","Danka",24,19,"2ID14A"
2888,"Bladzikowski","Halka ",25,28,"3ID13B"
2889,"Szymter","Ksenia",26,7,"1ID14A"
2890,"Kustrzycki","Mateusz ",29,33,"4ID12A"
2891,"Surdyn","Augusta",28,34,"4ID12B"
2892,"Czajlo","Wiktoria",20,20,"2ID14B"
2893,"Wyraniec","Dobromira ",23,26,"3ID12B"
2894,"Zarykow","Oriana",26,17,"2ID13A"
2895,"Ziemichod","Nina ",27,16,"2ID12B"
2896,"Menzynski","Erhard ",20,26,"3ID12B"
2897,"Kazajc","Mateusz ",20,22,"2ID15B"
2898,"swigon","Wislawa",20,10,"1ID15B"
2899,"Nazariewicz","Marcelin ",28,24,"3ID11B"
2900,"Kostant","Waclaw",23,11,"1ID16A"
2901,"Bondalowska","Malomir ",28,13,"2ID11A"
2902,"Ziembron","Atanazy ",21,31,"4ID11A"
2903,"Zynka","Nemezjusz ",25,27,"3ID13A"
2904,"Rokossowski","Miroslaw ",22,25,"3ID12A"
2905,"Poborzec","Ismena ",29,2,"1ID11B"
2906,"Rochwinska","Jldrzej ",22,28,"3ID13B"
2907,"Jankoniuk","Dlugomil ",27,17,"2ID13A"
2908,"Borkosiewicz","Jolanta",20,36,"4ID13B"
2909,"Plesnierewicz","Norbert ",29,2,"1ID11B"
2910,"Rozgajlo","Humbelina ",29,18,"2ID13B"
2911,"Hekel","Eustachy ",29,5,"1ID13A"
2912,"Krzosek","Eufrozyna ",26,21,"2ID15A"
2913,"Przeniecki","Bazyla",24,21,"2ID15A"
2914,"Impinna","Ernest ",22,8,"1ID14B"
2915,"Samojlowicz","Edyta",25,16,"2ID12B"
2916,"Hald","Jaroslawa ",26,21,"2ID15A"
2917,"Owies","Nawuj ",25,17,"2ID13A"
2918,"Pauszkowska","Hortensjusz ",25,19,"2ID14A"
2919,"Zemrys","Gerazym ",21,25,"3ID12A"
2920,"Gojak","Piotr",26,13,"2ID11A"
2921,"Drebal","Wirginiusz",27,25,"3ID12A"
2922,"Stojek","Delfina",29,17,"2ID13A"
2923,"KorschĂĽtz","Iryda ",20,9,"1ID15A"
2924,"Marcjanowicz","Dobrolyll ",24,22,"2ID15B"
2925,"Wenderaus","Mikolaj ",21,5,"1ID13A"
2926,"Pachuc","Norberta ",29,24,"3ID11B"
2927,"Krulik","Bernarda",27,13,"2ID11A"
2928,"Dywiega","Hipolit ",25,16,"2ID12B"
2929,"Szawlowska","Bonawentura",24,29,"3ID14A"
2930,"Gaspor","Cyra ",26,6,"1ID13B"
2931,"Sztarballo","Gilbert ",28,30,"3ID14B"
2932,"Padyjasek","Bogusz",29,8,"1ID14B"
2933,"Erlingson","Bernard",29,17,"2ID13A"
2934,"Glaniec","Honoryna ",24,2,"1ID11B"
2935,"Kilpinski","Seba",24,17,"2ID13A"
2936,"Budujkiewicz","Jaromira ",21,25,"3ID12A"
2937,"Pikur","Orfeusz",29,25,"3ID12A"
2938,"Plawner","Dionizy ",24,9,"1ID15A"
2939,"Bujasiak","Waldemat",27,22,"2ID15B"
2940,"Western","Ewelina ",23,12,"1ID16B"
2941,"Ranys","Jaroslawa ",28,27,"3ID13A"
2942,"Bancerowski","Fidelisa ",27,7,"1ID14A"
2943,"Gaberle","Ania",26,34,"4ID12B"
2944,"Efta","Lilian ",23,36,"4ID13B"
2945,"Kecicki","Goszczuj ",27,3,"1ID12A"
2946,"Jadusinski","Morzyslaw ",24,33,"4ID12A"
2947,"Skunny","Ulka",25,25,"3ID12A"
2948,"Hegenbart","Gaudencja ",28,11,"1ID16A"
2949,"Lineburg","Walentyn",25,29,"3ID14A"
2950,"Breza","Zbygniewa",23,21,"2ID15A"
2951,"Blyszko","Domastoj",28,5,"1ID13A"
2952,"Nabokowska","Dymitr ",24,22,"2ID15B"
2953,"Jarzecki","Areta",26,14,"2ID11B"
2954,"Taralo","Mati",29,31,"4ID11A"
2955,"Fingerhut","Wiktoryn",21,23,"3ID11A"
2956,"Backowski","Lidia ",23,28,"3ID13B"
2957,"Kindejewski","Herkules ",22,11,"1ID16A"
2958,"Awdiejewicz","Apolloniusz",28,9,"1ID15A"
2959,"Kapka","Benita",28,27,"3ID13A"
2960,"Swietyniowski","Drogoradz ",21,36,"4ID13B"
2961,"Brajezewska","Diogenes ",23,17,"2ID13A"
2962,"Lippe","Adolfa",26,22,"2ID15B"
2963,"Krzywy","Naum ",20,12,"1ID16B"
2964,"Szmajdewicz","Gracjan ",28,32,"4ID11B"
2965,"Bilejczuk","Ola",28,20,"2ID14B"
2966,"lajs","Krzysiek",28,23,"3ID11A"
2967,"Amtmanski","Gostmil ",28,14,"2ID11B"
2968,"Bazantkiewicz","Ksenia",23,2,"1ID11B"
2969,"Posudziejewski","Zenona",26,22,"2ID15B"
2970,"Stepula","Leonid ",29,36,"4ID13B"
2971,"Turla","Dytrych ",28,22,"2ID15B"
2972,"Gertrudowicz","Edward",27,32,"4ID11B"
2973,"Mlodanowicz","Grzymislaw ",27,22,"2ID15B"
2974,"Potrebka","Lubomira ",20,7,"1ID14A"
2975,"Wikowski","Dorota ",22,12,"1ID16B"
2976,"Mareniec","Fryderyk ",29,23,"3ID11A"
2977,"Biniakowski","Hubyslawa ",24,7,"1ID14A"
2978,"Rocko","Benedykta",25,15,"2ID12A"
2979,"Sapierzejska","Eugeniusz ",28,21,"2ID15A"
2980,"Mronca","Berta",23,36,"4ID13B"
2981,"Szula","Emanuela ",29,36,"4ID13B"
2982,"Ettingier","Nawoja ",21,9,"1ID15A"
2983,"Kostorkiewicz","Czedrog ",27,4,"1ID12B"
2984,"Szwojda","Halka ",20,14,"2ID11B"
2985,"Zehring","Ostrowod",23,16,"2ID12B"
2986,"Grapentyn","Anita",22,3,"1ID12A"
2987,"Wdowiarski","Hermana ",27,9,"1ID15A"
2988,"Bilczur","Onufry",22,36,"4ID13B"
2989,"Hins","Olka",28,13,"2ID11A"
2990,"Golacz","Nalyr ",27,24,"3ID11B"
2991,"Kosniecka","Brykcjusz ",29,36,"4ID13B"
2992,"Laciborska","Bolislawa ",21,31,"4ID11A"
2993,"Chleda","Hieronim ",25,6,"1ID13B"
2994,"Keiber","Filemon ",20,21,"2ID15A"
2995,"Mastalerski","Izbor ",29,31,"4ID11A"
2996,"Paszennik","Joachima ",29,26,"3ID12B"
2997,"Dolepa","Naum ",26,27,"3ID13A"
2998,"Konfisz","Bazyli",28,4,"1ID12B"
2999,"Gisder","Borzymir",27,18,"2ID13B"
3000,"Ochremko","Jaropelk ",29,21,"2ID15A"
3001,"Samulczuk","Misiek",22,9,"1ID15A"
3002,"Tonielo","Sara",22,28,"3ID13B"
3003,"Dopak","Czaslaw ",23,34,"4ID12B"
3004,"Kajczak","Maksym ",29,35,"4ID13A"
3005,"Poset","Horacy ",26,30,"3ID14B"
3006,"Czerkaszczenko","Mieczyslawa ",21,8,"1ID14B"
3007,"Pierzanowski","Augustyn",28,19,"2ID14A"
3008,"Kocma","Zofia",21,32,"4ID11B"
3009,"Krowiranda","Romuald",24,35,"4ID13A"
3010,"Kumbein","Alfons",26,30,"3ID14B"
3011,"Brentek","Jeroslawa ",27,14,"2ID11B"
3012,"Sluczan-Orkusz","Chocieslaw",21,22,"2ID15B"
3013,"Kielsa","Kubul",24,33,"4ID12A"
3014,"Glogus","Regina",25,19,"2ID14A"
3015,"Filimonowicz","Epifan ",24,5,"1ID13A"
3016,"Raychowicz","Izydor ",20,14,"2ID11B"
3017,"Tylawski","Konstancja ",27,26,"3ID12B"
3018,"Dencka","Serwacy",28,17,"2ID13A"
3019,"Samilinska","Naczlslaw ",23,25,"3ID12A"
3020,"Stander","Egon",25,15,"2ID12A"
3021,"Zmurkiewicz","Cyprian ",22,4,"1ID12B"
3022,"Purkop","Herakles ",21,3,"1ID12A"
3023,"Bespalko","Radoslaw",26,3,"1ID12A"
3024,"Nagul","Flawia ",27,33,"4ID12A"
3025,"Mikanowski","Hubyslaw ",25,29,"3ID14A"
3026,"Podrazo","Jaromir ",29,5,"1ID13A"
3027,"Janen","Ostrowod",27,11,"1ID16A"
3028,"Kredzel","Gaudenty ",23,33,"4ID12A"
3029,"Zembrzuska","Fidelis ",26,35,"4ID13A"
3030,"Madoszycki","Felek",27,11,"1ID16A"
3031,"Kakolowski","Augustyn",29,10,"1ID15B"
3032,"Kaak","Kasjan ",27,26,"3ID12B"
3033,"Rybasiewicz","lazarz",26,33,"4ID12A"
3034,"Sabela","Zbigniew",20,34,"4ID12B"
3035,"Hamanowicz","Dziebor ",23,4,"1ID12B"
3036,"Szustko","Max",22,6,"1ID13B"
3037,"swiager","Radzislaw",29,16,"2ID12B"
3038,"Tarasek","Wiktoria",22,18,"2ID13B"
3039,"Scisly","Kinga",23,32,"4ID11B"
3040,"Frosztaga","Jldrzej ",24,13,"2ID11A"
3041,"Pargiela","Teofila",20,11,"1ID16A"
3042,"Paciejewski","Hubyslawa ",28,22,"2ID15B"
3043,"Pieczeniuk","Sylweriusz",23,15,"2ID12A"
3044,"Jeczmyk","Myslaw ",27,36,"4ID13B"
3045,"Stadczuk","Jaclaw ",27,26,"3ID12B"
3046,"Siruta","Zbygniewa",24,28,"3ID13B"
3047,"Gardanski","Delfina",28,3,"1ID12A"
3048,"Smuntowski","Longin ",23,13,"2ID11A"
3049,"Jader","Paulin",27,16,"2ID12B"
3050,"Ludwig","Orfeusz",22,32,"4ID11B"
3051,"Jenrysik","Przemek",29,16,"2ID12B"
3052,"Sachniak","Pelagia",29,35,"4ID13A"
3053,"Rumiejowski","Georgia ",22,35,"4ID13A"
3054,"Pelatynski","Niegowoj ",24,26,"3ID12B"
3055,"Waligura","Fausta",24,31,"4ID11A"
3056,"Cwilag","Emanuela ",27,17,"2ID13A"
3057,"Micia","Regina",29,6,"1ID13B"
3058,"Wojdas","Horacy ",27,16,"2ID12B"
3059,"Cyranowicz","Zbigniewa",21,23,"3ID11A"
3060,"Przygorzewski","Feliks ",27,3,"1ID12A"
3061,"DoZdzyn","Fryderyk ",26,28,"3ID13B"
3062,"Sacalo","Sergiusz",28,30,"3ID14B"
3063,"Goszczurny","Filemon ",21,19,"2ID14A"
3064,"Winiarczuk","Natalis ",27,13,"2ID11A"
3065,"Grunsz","Borzymir",29,16,"2ID12B"
3066,"Skobiejko","Zbyszek",22,29,"3ID14A"
3067,"Stalmuski","Iwonka",25,26,"3ID12B"
3068,"Sorokon","Ninogniew ",21,26,"3ID12B"
3069,"Cora","Bogudar",21,7,"1ID14A"
3070,"Tropiejko","Domicjan ",25,12,"1ID16B"
3071,"Szwakopf","Izyda ",29,30,"3ID14B"
3072,"Hocimski","Edward",25,15,"2ID12A"
3073,"Keres","Hania",29,8,"1ID14B"
3074,"Turmanczyk","Ernestyna ",21,34,"4ID12B"
3075,"Sierzpowski","Budzigniew ",21,17,"2ID13A"
3076,"Jakobek","Angelika",27,26,"3ID12B"
3077,"Kolesnikowicz","Mlciwoj ",26,11,"1ID16A"
3078,"Prytkow","Daroslaw ",20,34,"4ID12B"
3079,"Janoszuk","Dobroslaw ",28,9,"1ID15A"
3080,"Chwedczenia","Iryda ",24,7,"1ID14A"
3081,"Kanszar","Marietta ",24,22,"2ID15B"
3082,"Supron","Felicjan ",24,25,"3ID12A"
3083,"Figlarowicz","Maksymin ",21,32,"4ID11B"
3084,"Polsak","Dalewuja",22,35,"4ID13A"
3085,"Kmieciuk","Bohdana",21,36,"4ID13B"
3086,"Czata","Monia",22,12,"1ID16B"
3087,"Tomosczyk","Wislawa",23,27,"3ID13A"
3088,"Kaznik","Cieszyslawa ",28,28,"3ID13B"
3089,"Bogasz","Grzesiek",22,14,"2ID11B"
3090,"Napartowicz","Areta",26,36,"4ID13B"
3091,"Damak","Patrycjusz",23,31,"4ID11A"
3092,"Utczyk","Benedykta",27,18,"2ID13B"
3093,"Skierecki","Budzimir ",27,11,"1ID16A"
3094,"Wiethy","Feliksa ",21,22,"2ID15B"
3095,"Muranyj","Dobroslawa ",29,14,"2ID11B"
3096,"Felicki","Tyburcjusz",26,4,"1ID12B"
3097,"sniedziewski","Ida ",20,18,"2ID13B"
3098,"Josefsson","Irmina ",27,6,"1ID13B"
3099,"Sadowiec","Gromislaw ",24,3,"1ID12A"
3100,"Dawyniak","Ignacja ",23,7,"1ID14A"
3101,"Morar","Maciul",27,5,"1ID13A"
3102,"Millo","Franciszka ",21,33,"4ID12A"
3103,"Pienikiewicz","Maja ",28,4,"1ID12B"
3104,"Bonaura","Dagobert",25,13,"2ID11A"
3105,"Kulijczuk","Ola",20,13,"2ID11A"
3106,"Garbala","Mlcislawa ",29,14,"2ID11B"
3107,"Starosiewicz","Bartlomiej",22,20,"2ID14B"
3108,"Nord","Bldzislaw",28,4,"1ID12B"
3109,"Cieciecinska","Waclaw",23,22,"2ID15B"
3110,"Makiola","Falibog",25,15,"2ID12A"
3111,"Kobiesa","Florenty ",27,14,"2ID11B"
3112,"Berlanga","Linda",24,10,"1ID15B"
3113,"Dobrzenicki","Dromil ",23,2,"1ID11B"
3114,"Massulik","Stefan",25,30,"3ID14B"
3115,"Ballosz","Bazyliusz",26,17,"2ID13A"
3116,"Kazmierczyk","Gienek",27,25,"3ID12A"
3117,"Hormatiuk","Luboradz ",22,20,"2ID14B"
3118,"Tabacz","Ninomysl ",26,33,"4ID12A"
3119,"Struniawski","Maksymin ",20,9,"1ID15A"
3120,"Czelis","Erast ",26,21,"2ID15A"
3121,"Mieszczanczyk","Teodozja",26,11,"1ID16A"
3122,"Hercza","Klemens ",29,29,"3ID14A"
3123,"Dachn","Zbyszek",20,33,"4ID12A"
3124,"Batazy","Leontyna ",29,21,"2ID15A"
3125,"Szarzalski","Ewelinka",29,8,"1ID14B"
3126,"Zeligman","Daniel ",20,33,"4ID12A"
3127,"Cinkus","Barnim",21,31,"4ID11A"
3128,"Peremicki","Innocenty ",21,31,"4ID11A"
3129,"Szczechur","Krzeslawa ",21,15,"2ID12A"
3130,"Goscinski","Jonatan ",24,28,"3ID13B"
3131,"Plonsek","Bonifacy",27,13,"2ID11A"
3132,"Nejfeldt","Dobrochna ",25,31,"4ID11A"
3133,"Joczes","Jlzefa ",20,32,"4ID11B"
3134,"Eke","Wlodzimir",27,13,"2ID11A"
3135,"Hezak","Marcelian ",21,15,"2ID12A"
3136,"Sznurpfeil","Malkolm ",28,6,"1ID13B"
3137,"Dabel","Zygfryd",24,5,"1ID13A"
3138,"Koczen","Budzislaw",25,34,"4ID12B"
3139,"Kilinski","Roksana",25,36,"4ID13B"
3140,"Dziedowiec","Krystyna ",29,8,"1ID14B"
3141,"Patorski","Marita ",21,31,"4ID11A"
3142,"Dworzanczyk","Jarostryj ",26,35,"4ID13A"
3143,"Rothgegel","Borys",20,9,"1ID15A"
3144,"Puczulek","Danuta ",23,9,"1ID15A"
3145,"Wilemborek","Dagobert",29,33,"4ID12A"
3146,"Jakobsson","Serwacy",23,13,"2ID11A"
3147,"Krucynska","Agata",25,28,"3ID13B"
3148,"Glocko","Doboslawa ",27,6,"1ID13B"
3149,"Jabroz","Zbigniew",28,35,"4ID13A"
3150,"Bukarz","Gwidon ",26,4,"1ID12B"
3151,"Osydus","Kasjan ",29,9,"1ID15A"
3152,"Kuciewski","Seweryn",27,8,"1ID14B"
3153,"Gnelec","Elizka",28,36,"4ID13B"
3154,"Szalwiecki","Bazyla",25,12,"1ID16B"
3155,"sliwoniak","Slawobora",20,6,"1ID13B"
3156,"Nandschke","Galfryd ",28,11,"1ID16A"
3157,"Ziemieciewicz","Aga",29,8,"1ID14B"
3158,"Kroniewski","Dionizy ",26,34,"4ID12B"
3159,"Sustkowska","Germanik ",24,16,"2ID12B"
3160,"Dusinski","Loreta ",27,16,"2ID12B"
3161,"Bartelak","Gizela ",21,9,"1ID15A"
3162,"Copala","Kamil ",24,34,"4ID12B"
3163,"Perzowicz","Cecylian",24,6,"1ID13B"
3164,"Tymczak","Onufry",23,27,"3ID13A"
3165,"Buszejko","Joachim ",24,19,"2ID14A"
3166,"Olszyczka","Fryderyka ",24,20,"2ID14B"
3167,"Hincmanowski","Cibora ",23,28,"3ID13B"
3168,"Szwander","Jacek ",20,6,"1ID13B"
3169,"Kocul","Klementyn ",22,13,"2ID11A"
3170,"Gielawska","Aleksy",25,36,"4ID13B"
3171,"Oryczkowski","Walenty",23,16,"2ID12B"
3172,"Pirulski","Ewelina ",25,5,"1ID13A"
3173,"Bandula","Halka ",23,6,"1ID13B"
3174,"Jedruch","Lena ",29,14,"2ID11B"
3175,"Mazeon","Nadzieja ",22,4,"1ID12B"
3176,"Gumulkowska","Dobromila ",28,2,"1ID11B"
